
2017/11/1 日	新的开始，不忘初心，坚持

2017/11/2 日	大早梦见工作，闲聊开始污

2017/11/3 日 	保持开放的思想，积极吸纳别人不同的思想

2017/11/4 日  	去热爱自己做的事，去用心爱身边的人，亲爱的我爱你

2017/11/5 日	睡饱了，哈哈哈起来做点有意义的事情

2017/11/6 日	玩了一天的游戏，真浪费，周末可以看看教学视频

2017/11/7 日	把要做的事情做完，记住效率优先 	

2017/11/8 日	转正了，和曾经入职的时间吻合，平息，深呼吸

2017/11/9 日	第一次听见有家暴，自觉的做一点微薄之力

2017/11/10日	又到周末了，也到双十一，记得买买买

2017/11/11日	双十一也过去了。时间好快

2017/11/12日	坚持啊，这几天有点心神不定，按照计划走

2017/11/13日	短剑重铸之日，骑士归来之时

2017/11/14日	时光会告诉你答案，对了今天超堵-北五环

2017/11/15日	昨天居然删我评论，也真是荣幸啊~~

2017/11/16日	领导拭擦、面试薪资填写，收获了

2017/11/17日	坚持每一次好的习惯，嘿嘿

2017/11/18日	又去怀柔啦，见到我家珊子，感觉憔悴了许多

2017/11/19日	周末总结一下这一周的事情，别忘了学习

2017/11/20日	中介太不靠谱了，推来推去的

2017/11/21日	坚持学习，时刻提醒自己

2017/11/22日	冷静下来，思考、专注

2017/11/23日	时间正在飞速的流逝着，今天周四了已经

2017/11/24日	又到了周末了，好快，记住不要浪费时间

2017/11/25日	事实证明你周末控制不住

2017/11/26日	堕落起来很容易，但坚持很难，时刻警醒

2017/11/27日	周一是不是很慌，确实是

2017/11/28日	居然有人离职了，我都不知道，好吧好好干，专注

2017/11/29日	我记得只有忙碌，但效率不高

2017/11/30日	总算是结束了，可以放松一会，但时刻提醒自己不能懈怠

2017/12/1 日	2017年最后一个月了，静下心来好好的充实自己

2017/12/2 日    周六吧，有点快呀，还是得锻炼才行

2017/12/3 日	周日感觉还能撑一会，睡好，保证良好的身体状况

2017/12/4 日	新的一周了，重新搞定每一次计划

2017/12/5 日	希望你能越来越强，知识体系以及身体气质

2017/12/6 日	高效的快速完成任务，抽出其他时间积累自己的知识体系

2017/12/7 日	起来挺早的，也得早的有效率才行



